biog_id	x姓名	name	generation	inferred_choronym
E203255	崔濱	Ch'oe Pin	20	
EA03137	崔炳	Ch'oe Pyŏng	20	
E501496	崔偁	Ch'oe Ch'ing	21	
E202247	崔承流	Ch'oe Sŭngnyu	20	
E101384	崔承寧	Ch'oe Sŭngnyŏng	20	
E203249	崔承溫	Ch'oe Sŭngon	19	
E101409	崔承政	Ch'oe Sŭngjŏng	20	
E101435	崔承宗	Ch'oe Sŭngjong	20	
E203277	崔承祖	Ch'oe Sŭngjo	20	
E305841	崔崇道	Ch'oe Sungdo	17	
E305772	崔處江	Ch'oe Ch'ŏgang	17	
E700524	崔處淵	Ch'oe Ch'ŏyŏn	21	
EB01708	崔傳善	Ch'oe Chŏnsŏn	19	
0197fe12-2257-7177-b22a-f6cc8a13bd4f	崔春坊		20	
5b2d649d-2d7a-44be-999c-e11332e55bc2	崔春坊		20	
E901950	崔淳	Ch'oe Sun	20	
D807914	崔賜起	Ch'oe Sagi	2	
E605649	崔悰	Ch'oe Chong	20	
E101402	崔道根		21	
E101405	崔道全	Ch'oe Tojŏn	21	
E101386	崔道一	Ch'oe Toil	21	
E201488	崔得濟	Ch'oe Tŭkche	18	
EB04425	崔得孫	Ch'oe Tŭkson	18	1
E305774	崔得止	Ch'oe Tŭkchi	17	
E303447	崔德孫	Ch'oe Tŏkson	18	
EC00321	崔店	Ch'oe Chŏm	18	
E000379	崔敦	Ch'oe Ton	19	
EB03178	崔敦臨	Ch'oe Tonim	20	
E400990	崔昐	Ch'oe Pun	19	
E203275	崔稪		19	1
EC04013	崔恭孫	Ch'oe Kongson	20	
E201514	崔灌	Ch'oe Kwan	20	
E000393	崔龜山	Ch'oe Kwisan	20	
EB01709	崔龜壽	Ch'oe Kwisu	20	
E205677	崔涵	Ch'oe Ham	18	
E206411	崔漢伯	Ch'oe Hanbaek	20	
E104113	崔漢臣		19	
E901701	崔漢輔	Ch'oe Hanbo	20	
E901470	崔漢侯		20	
E205455	崔漢老	Ch'oe Hallo	18	
E201285	崔漢良	Ch'oe Hallyang	20	
E000660	崔漢卿	Ch'oe Han'gyŏng	20	
E203279	崔漢望	Ch'oe Hanmang	21	
E301169	崔漢文	Ch'oe Hanmun	20	
E103685	崔漢元	Ch'oe Hanmu	22	
0197fe12-2257-764b-9a02-e5b5896594a3	崔漢苑		20	
70af8016-614b-42ca-a523-e3e8950b721d	崔漢苑		20	
E901681	崔漢忠	Ch'oe Hanch'ung	20	
E201737	崔滈	Ch'oe Ho	17	
EC01335	崔灝元	Ch'oe Sunwŏn	19	
E902305	崔和美	Ch'oe Hwami	21	
E401355	崔河	Ch'oe Ha	17	
E901747	崔恒	Ch'oe Hang	18	
E904106	崔宏	Ch'oe Koeng	16	
E000380	崔虎山	Ch'oe Hosan	20	
E304585	崔懽輔		20	
E501470	崔伋	Ch'oe Kŭp	21	
E401538	崔汲	Ch'oe Kŭp	1	
E103687	崔季男	Ch'oe Kyenam	19	
E900709	崔季泉	Ch'oe Kyech'ŏn	19	
E808178	崔季生	Ch'oe Kyesaeng	17	
E202983	崔季孫	Ch'oe Kyeson	18	
EC04009	崔繼宗	Ch'oe Kyejong	20	
E901641	崔儉	Ch'oe Kŏm	21	
E901643	崔健	Ch'oe Kŏn	21	
EB04034	崔潔	Ch'oe Kyŏl	18	
EC02074	崔津	Ch'oe Chin	19	
EB01086	崔璡	Ch'oe Chin	21	
EB04033	崔井涓	Ch'oe Chŏngyŏn	17	
E301380	崔景禮	Ch'oe Kyŏngnye	20	
E204134	崔景淵	Ch'oe Kyŏngyŏn	18	
E302198	崔淨	Ch'oe Chŏng	19	
EB04416	崔敬	Ch'oe Kyŏng	18	1
E901428	崔敬本	Ch'oe Kyŏngbon	20	
E302463	崔敬明	Ch'oe Kyŏngmyŏng	18	
E501391	崔敬孫	Ch'oe Kyŏngson	21	
E201154	崔敬止	Ch'oe Kyŏngji	21	
E103561	崔敬忠	Ch'oe Kyŏngch'ung	20	
E304883	崔九淵	Ch'oe Kuyŏn	18	
E401846	崔沮	Ch'oe Chŏ	17	
E401354	崔涓汀	Ch'oe Yŏnjŏng	18	
EC01492	崔浚	Ch'oe Chun	19	
E501477	崔侃	Ch'oe Kan	21	
E203270	崔寬海	Ch'oe Kwanhae	21	
E401869	崔揆	Ch'oe Kyu	19	
E807766	崔蔾		17	
E306030	崔李起	Ch'oe Igi	16	
EB04035	崔漣	Ch'oe Ryŏn	18	
E100959	崔濂		21	
E104318	崔洌	Ch'oe Ryŏl	20	
E100755	崔潾	Ch'oe Rin	20	
E000241	崔璘	Ch'oe Rin	21	
EC00721	崔隆	Ch'oe Ho	19	
E902286	崔倫	Ch'oe Ryun	21	
E903084	崔楣	Ch'oe Mi	20	1
E501409	崔孟思		21	1
E901618	崔旼	Ch'oe Min	19	
E104217	崔明達	Ch'oe Myŏngwŏn	19	
E201959	崔明進	Ch'oe Myŏngjin	19	
E101500	崔命孫	Ch'oe Myŏngson	19	
EA03450	崔末山	Ch'oe Malsan	21	
E808179	崔末生	Ch'oe Malsaeng	17	
E901671	崔漠禎	Ch'oe Hanjŏng	20	
EB04394	崔寧	Ch'oe Nyŏng	16	1
EB04038	崔濘	Ch'oe Nyŏng	18	
E201152	崔伾	Ch'oe Pi	21	
E102286	崔千春		19	
E306034	崔千㱓	Ch'oe Ch'ŏllyŏng	17	
E205464	崔秦	Ch'oe Mu	19	
E401511	崔溱	Ch'oe Chin	19	
E205478	崔拳	Ch'oe Kwŏn	19	
D201738	崔仁富	Ch'oe Inbu	16	
EC02075	崔仁近	Ch'oe In'gŭn	20	
EC02076	崔仁遜	Ch'oe Inson	20	
EC02084	崔仁遇	Ch'oe Inu	20	
E501460	崔任	Ch'oe Im	20	
E203281	崔榮祖	Ch'oe Yŏngjo	20	
E201534	崔融		20	
E205393	崔融	Ch'oe Yung	19	
E901113	崔濡	Ch'oe Yu	19	
E303309	崔汝澄		18	
E807872	崔汝海	Ch'oe Yŏhae	18	
E103167	崔閏福	Ch'oe Yunbok	1	
E102515	崔閏身	Ch'oe Yunsin	20	
E201212	崔閏玉		19	
E201501	崔閏玉	Ch'oe Yunok	19	
EC00813	崔閏玉	Ch'oe Yunok	19	
E201433	崔厦	Ch'oe Ha	19	
E401586	崔善敏	Ch'oe Sŏnmin	19	
E201745	崔尙河	Ch'oe Sangha	18	
E201741	崔尙淇	Ch'oe Sanggi	18	
E402414	崔尙溫	Ch'oe Sangon	17	
E200733	崔涉	Ch'oe Sŏp	19	
E203257	崔愼全	Ch'oe Sinjŏn	20	
E302454	崔生明	Ch'oe Saengmyŏng	18	
E401018	崔石堅	Ch'oe Sŏkkyŏn	19	
E807682	崔石正	Ch'oe Sŏkchŏng	17	
E201120	崔湜		21	
E101374	崔士康	Ch'oe Sagang	19	
E201286	崔士老	Ch'oe Saro	19	
E100707	崔世豪	Ch'oe Seho	22	
E101407	崔世傑	Ch'oe Segŏl	22	
E101408	崔世俊	Ch'oe Sejun	22	
E101404	崔世省	Ch'oe Sesŏng	22	
E101387	崔世賢	Ch'oe Sehyŏn	22	
E203251	崔謚	Ch'oe Pun	20	
EB03190	崔壽臨	Ch'oe Suim	20	
EB04074	崔叔	Ch'oe Suk	19	
E902518	崔叔精		19	
E703950	崔叔男		21	
EA00402	崔淑恭		20	
EA00405	崔淑敬		20	
E101456	崔淑文		18	
E100567	崔澍		20	
E302466	崔澍	Ch'oe Chu	20	
E301236	崔水山	Ch'oe Susan	21	
E103436	崔順孫	Ch'oe Sunson	18	
E301534	崔思厚		19	
E301501	崔思淸		19	
E901734	崔四海	Ch'oe Sahae	19	
E100944	崔泗	Ch'oe Sa	21	
E203259	崔松達	Ch'oe Songdal	21	
E203262	崔松連	Ch'oe Songnyŏn	21	
E203263	崔松謙	Ch'oe Songgyŏm	21	
E205457	崔泰	Ch'oe T'ae	20	
EB01649	崔潭	Ch'oe Tam	18	
E104475	崔塘	Ch'oe Tang	20	
EB03177	崔悌男	Ch'oe Chenam	19	
E900572	崔汀	Ch'oe Chŏng	18	
E401609	崔侹	Ch'oe Chŏng	20	
E807683	崔仝	Ch'oe Tong	18	
E306035	崔萬㱓	Ch'oe Mallyŏng	17	
EB04421	崔洧	Ch'oe Yu	17	1
EC04012	崔溫孫	Ch'oe Onson	20	
E201245	崔文普	Ch'oe Munbo	21	
E205165	崔沃		20	
E901626	崔曦	Ch'oe Hŭi	20	
E206710	崔係	Ch'oe Kye	17	
E306032	崔遐㱓	Ch'oe Haryŏng	17	
EA00401	崔湘		19	
E101467	崔孝安	Ch'oe Anhyo	20	
E101440	崔孝恭	Ch'oe Hyogong	21	
E501372	崔孝基	Ch'oe Hyogi	20	
E101428	崔孝良	Ch'oe Hyoryang	21	
E808176	崔孝男	Ch'oe Hyonam	16	
E101450	崔孝順	Ch'oe Hyosun	21	
E401051	崔孝孫	Ch'oe Hyoson	17	
E901968	崔孝原	Ch'oe Hyowŏn	19	
E101421	崔孝忠	Ch'oe Hyoch'ung	21	
2c7d2618-0577-42be-8822-03db4d3844e1	崔孝宗		21	
D206674	崔偕	Ch'oe Hae	15	
E901633	崔昕	Ch'oe Hŭn	20	
E301025	崔性老		18	
E305770	崔興潤	Ch'oe Hŭngyun	16	
E304605	崔熊	Ch'oe Ung	19	
EB04412	崔宣	Ch'oe Sŏn	16	1
E201744	崔璇	Ch'oe Sŏn	19	
5b5c0d88-8722-404b-bd46-a23883b9c6fd	崔延命		20	
E205156	崔延年	Ch'oe Yŏnnyŏn	19	
E103439	崔演	Ch'oe Yŏn	19	
E305794	崔演元	Ch'oe Yŏnwŏn	17	
E501406	崔儼	Ch'oe Ŏm	20	
EB03191	崔陽臨	Ch'oe Yangim	20	
E206138	崔乙斗		20	
D206620	崔乙義	Ch'oe Ŭrŭi	15	
E301238	崔義	Ch'oe Ŭigŏm	20	
E306033	崔億㱓	Ch'oe Ŏngnyŏng	17	
E401908	崔英潾	Ch'oe Yŏngnin	18	
E100761	崔濚	Ch'oe Yŏng	19	
E203237	崔永灝	Ch'oe Yŏngho	22	
E100284	崔永潾	Ch'oe Yŏngnin	20	
E902282	崔永孫	Ch'oe Yŏngson	21	
E201533	崔泳	Ch'oe Yŏng	20	
E200578	崔有恒	Ch'oe Yuhang	20	
E201934	崔有江	Ch'oe Yugang	19	
E201382	崔有良	Ch'oe Yuryang	18	
E305028	崔有謙	Ch'oe Yugyŏm	18	
E401510	崔有源	Ch'oe Yuwŏn	18	
E201155	崔有宗	Ch'oe Yujong	19	
E305663	崔宇	Ch'oe U	16	
E201747	崔瑀	Ch'oe U	19	
E200651	崔玉浩		20	
E103185	崔玉明	Ch'oe Ongmyŏng	20	
E401585	崔玉筍	Ch'oe Oksun	20	
D200034	崔裕	Ch'oe Yu	17	
E900703	崔淵	Ch'oe Yŏn	18	
E401019	崔原濟	Ch'oe Wŏnjun	18	
E203266	崔源海	Ch'oe Wŏnhae	21	
D200036	崔雲海	Ch'oe Unhae	18	
E104317	崔允亨	Ch'oe Yunhyŏng	19	
